CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
790533604,Existing Customer,42,F,3,High School,Divorced,$40K - $60K,Blue,36,4,2,2,1648.1,1834,14051,1.28323812,4404,50,0.789608269,0.432831034
808472193,Existing Customer,40,F,3,High School,Married,Less than $40K,Blue,42,4,3,2,3119.7,1070,12981.1,0.71406321,3951,55,0.636769125,0.584226381
721449235,Existing Customer,38,M,2,High School,Married,$40K - $60K,Blue,43,5,1,3,4493.3,2028,5497.2,0.857325975,4611,88,0.684783432,0.786887648
719917238,Existing Customer,52,M,2,High School,Single,Unknown,Silver,46,2,3,2,34372,2517,34013.5,0.836095732,13528,82,0.437965257,0.070150157
746685753,Attrited Customer,52,F,2,Uneducated,Married,Less than $40K,Blue,43,2,2,3,2248.7,2478,1781.3,0.875040903,1954,37,0.69339565,0.686774388
711601741,Existing Customer,50,M,3,High School,Married,$120K +,Blue,29,6,1,3,32048.8,1491,13141.3,0.674912924,821,28,0.600275865,0.057560647
818857688,Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,39,5,3,3,1538.5,1377,489.2,0.925558467,4403,77,0.628367731,0.665430494
721078763,Existing Customer,33,F,5,Post-Graduate,Unknown,Less than $40K,Blue,38,4,3,4,1754.5,2089,4169.8,0.70544939,4303,44,0.682279259,0.213313687
709221112,Attrited Customer,53,F,4,Graduate,Single,$40K - $60K,Blue,30,2,3,2,4138.8,1621,1318,0.637643814,4215,91,0.627789467,0.319257374
781194744,Existing Customer,42,M,4,Uneducated,Divorced,$120K +,Blue,28,3,2,4,31477.3,1088,34516,0.760061328,1042,48,0.35880393,0.032472399
708869441,Existing Customer,51,F,2,High School,Single,Unknown,Silver,27,4,2,1,13704,1614,28979.4,0.69491047,1791,32,0.931610844,0.061535669
773920118,Attrited Customer,53,F,2,Graduate,Single,Less than $40K,Blue,36,6,3,3,3020.5,1508,449,0.853869858,1802,63,0.578279531,0.802605468
711537675,Existing Customer,50,M,3,Uneducated,Single,Less than $40K,Blue,36,4,1,3,23882.3,1825,4887.3,0.580450942,1040,38,0.606514175,0.128895665
771230350,Existing Customer,49,M,1,Post-Graduate,Single,$80K - $120K,Blue,35,1,3,3,5883.7,2177,16313.8,0.753757283,1719,93,0.553258817,0.142900418
717887658,Existing Customer,61,M,2,Graduate,Married,$80K - $120K,Blue,51,2,3,2,2767,1779,6150.4,0.721372585,4607,127,0.648335167,0.145033126
709402088,Existing Customer,51,F,3,Uneducated,Divorced,$40K - $60K,Blue,30,5,3,2,2283.2,1766,1191.6,0.752767754,4300,75,0.747396819,0.642033886
717666058,Attrited Customer,44,M,1,Uneducated,Married,$80K - $120K,Blue,44,5,2,3,5424.8,0,21460.4,1.044020745,1144,51,0.567785266,0
775202861,Existing Customer,53,M,1,Uneducated,Married,Unknown,Blue,44,4,1,3,19966.5,1682,22794.2,0.82255259,1487,59,0.545217078,0.116009476
818305042,Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,36,2,2,3,5872.8,851,11893,0.783520786,1212,60,0.51017486,0.53375746
716649960,Existing Customer,54,F,1,College,Married,Less than $40K,Blue,19,3,1,2,8625.8,0,2120.9,0.796512539,3351,23,0.798748428,0
713912565,Existing Customer,56,F,3,Graduate,Single,$40K - $60K,Blue,42,6,1,1,15984.1,1324,14642.7,0.815263429,2226,80,0.923187302,0.573073853
720847767,Attrited Customer,57,F,4,Unknown,Married,Unknown,Blue,43,5,2,2,2524,0,10740.2,1.053805133,754,44,0.622955302,0.000246148
818030408,Existing Customer,47,F,0,Post-Graduate,Single,Less than $40K,Silver,35,3,3,3,18973.3,2111,34516,0.845907894,1479,69,0.893088027,0
718956395,Attrited Customer,63,F,4,Graduate,Married,Less than $40K,Blue,36,3,3,3,7553.1,13,2052.6,0.684709848,1463,41,0.44494133,0.005292506
711778020,Existing Customer,51,M,2,College,Married,$120K +,Blue,38,6,3,3,18006.3,1964,6587.7,0.639445284,1984,49,0.204607336,0.217609556
711383305,Existing Customer,44,F,4,Uneducated,Married,Less than $40K,Blue,32,5,2,1,1500,684,1148,0.809653168,2240,41,0.784449125,0.748080549
714229651,Existing Customer,49,F,3,Uneducated,Divorced,$40K - $60K,Blue,43,4,1,1,2471.4,1779,930.9,0.838175367,4337,90,0.971570855,0.418980986
714493545,Existing Customer,43,M,3,Graduate,Single,Unknown,Silver,36,2,3,2,32269,2021,12093.2,0.723750916,4510,58,0.623960745,0.121474696
808900776,Attrited Customer,56,F,1,Uneducated,Married,Less than $40K,Blue,44,3,3,6,10925.1,0,3364.2,0.365161581,1630,41,0.479444134,0.000915621
808338843,Existing Customer,39,F,5,Uneducated,Married,Less than $40K,Blue,38,3,4,1,2772.4,2484,1350,0.614788278,3433,34,0.452662771,0.740458731
826075847,Existing Customer,49,M,2,High School,Married,$80K - $120K,Blue,42,4,3,1,18648.7,1576,13622.5,0.779063093,13396,111,0.767607735,0.099907157
720269581,Existing Customer,47,M,2,Uneducated,Married,$40K - $60K,Blue,38,6,2,3,2409.8,1032,452,1.412384932,4722,70,0.67123014,0.708337981
709899351,Existing Customer,47,M,2,Graduate,Unknown,$80K - $120K,Blue,25,2,1,4,7709.2,1,13966.4,0.69194964,2375,49,0.616159324,0.065590352
813861759,Existing Customer,65,M,3,Uneducated,Married,$60K - $80K,Blue,42,3,2,2,2277.3,1503,1051.7,0.732497479,4292,65,0.758415502,0.593961164
710681058,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,38,6,1,2,1908.5,1397,1153.7,0.708828363,4407,85,0.763926036,0.68298862
715999761,Existing Customer,47,M,2,High School,Unknown,$40K - $60K,Silver,38,2,2,3,4399.5,1563,24470.4,0.981412056,4622,124,0.796841512,0.062059519
715402128,Existing Customer,45,M,0,High School,Single,Unknown,Silver,36,2,3,2,21845.4,1435,18625.5,0.800617426,13141,62,0.372927503,0.064208527
819153444,Attrited Customer,51,F,3,Graduate,Unknown,Less than $40K,Blue,32,2,4,1,2284.4,1694,587.5,0.762163252,4758,108,0.786550799,0.799252695
712378440,Existing Customer,35,M,2,Unknown,Married,$60K - $80K,Blue,38,6,1,3,9561.4,1301,8104.3,1.261795309,3663,78,0.745318106,0.177526862
819924548,Existing Customer,42,M,2,Post-Graduate,Single,$80K - $120K,Platinum,23,2,2,3,31412.7,1245,30867.1,0.73139275,7608,131,0.578204788,0.039225688
713077978,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,40,4,1,3,22020.2,1046,16636,0.576537066,2097,53,0.818770283,0.150870578
719873159,Existing Customer,51,M,3,Uneducated,Single,$80K - $120K,Blue,48,5,3,1,14731.9,2420,16780.8,0.709391324,3744,90,0.782589083,0.153489648
719041401,Existing Customer,37,M,1,Unknown,Married,Less than $40K,Blue,36,5,2,4,7491.9,0,3976.7,1.39698617,1447,31,1.0867038,0
792576991,Attrited Customer,40,F,3,Uneducated,Married,Unknown,Silver,34,3,2,3,2415.5,2011,2167.8,0.613377897,2092,45,0.501483481,0.216563139
818166399,Existing Customer,48,F,4,High School,Single,Unknown,Silver,42,1,3,2,33631.5,1560,34516,0.821523515,8222,94,0.780727399,0.05671175
785998501,Existing Customer,38,F,2,High School,Married,Unknown,Blue,39,5,2,1,5105.1,2054,1780.3,0.637994644,4308,70,0.77644155,0.433835549
708750256,Existing Customer,59,F,5,High School,Married,Unknown,Blue,51,3,3,3,9912.2,1595,28509.6,0.583993077,1411,73,0.759620009,0.370750216
720147163,Existing Customer,30,F,0,Unknown,Married,$40K - $60K,Blue,24,5,5,3,2551.6,1653,7278.5,0.868398054,1897,74,0.677305618,0.002970391
719537398,Existing Customer,34,M,3,High School,Single,$40K - $60K,Blue,50,3,1,1,2725.9,1634,737.4,0.881444599,4273,78,0.727296724,0.663571372
715935961,Existing Customer,44,F,4,College,Married,Unknown,Blue,44,3,4,3,1604,1215,582.2,0.612196102,1434,61,0.398120507,0.373294301
791708365,Existing Customer,51,M,3,Uneducated,Single,$120K +,Gold,36,2,3,3,14716.2,1339,3814.9,0.694998988,13960,67,0.830924178,0.096441994
713800526,Existing Customer,60,M,1,High School,Married,$120K +,Blue,44,5,3,3,21063,896,16619.2,0.815144331,4110,70,0.739186907,0.144441778
813779561,Existing Customer,50,M,2,High School,Divorced,$80K - $120K,Silver,37,5,3,3,21496.9,2033,17490,0.671446413,4499,128,0.808115156,0.128166322
712690526,Existing Customer,42,M,2,Post-Graduate,Married,$80K - $120K,Blue,26,5,2,3,17173.9,2215,20838.6,0.835300525,746,31,1.131169049,0.062540321
713333230,Existing Customer,52,F,3,High School,Married,$80K - $120K,Silver,24,5,2,3,6989.8,1524,14475.5,0.770562561,4625,85,0.900894273,0.221103877
721679921,Existing Customer,34,F,3,Unknown,Divorced,$40K - $60K,Blue,38,5,3,1,2287.6,1560,1462.3,0.858192802,4701,75,0.59533515,0.58185541
803103784,Existing Customer,58,M,1,High School,Single,Unknown,Silver,44,4,3,3,15681.8,888,34516,0.864070731,14345,129,0.687184445,0.118687182
816781927,Existing Customer,49,M,2,Graduate,Single,$60K - $80K,Silver,42,5,4,2,16686.2,1682,13557.7,0.668635082,4050,87,0.576735825,0.14558606
821083555,Attrited Customer,56,F,3,Uneducated,Married,$120K +,Platinum,46,3,3,3,33213.2,0,30611.6,0.840408149,1591,55,0.581999655,0
761443587,Existing Customer,56,F,5,Graduate,Married,$60K - $80K,Blue,42,6,1,1,4139.3,2041,8982.4,0.717830994,4004,82,0.403910699,0.455822106
720109569,Attrited Customer,50,F,4,Post-Graduate,Married,Unknown,Blue,35,6,3,3,1438.3,806,18384.6,0.770331171,2500,88,0.772217629,0.231182381
710583655,Existing Customer,37,F,1,Uneducated,Divorced,Less than $40K,Silver,44,1,4,3,14803.9,0,26622.3,0.771542223,7569,71,0.583204404,0.106566374
809822799,Existing Customer,60,M,0,Unknown,Married,$60K - $80K,Blue,45,4,5,3,3464.8,0,1294.7,0.64255651,3894,57,0.694443629,0
715692406,Existing Customer,59,F,2,High School,Married,Unknown,Silver,36,3,3,1,13841.4,986,7145.2,0.737444171,13163,75,0.767551373,0.18183332
719090963,Attrited Customer,51,F,4,College,Divorced,$120K +,Blue,40,6,3,3,2680.3,0,17537.8,0.78061108,1327,41,0.493476666,0
811318105,Existing Customer,44,M,3,High School,Unknown,$120K +,Blue,36,5,2,3,17364.7,1637,20244.1,0.829011166,1346,73,0.758967498,0.060701551
781006885,Existing Customer,45,M,3,Uneducated,Married,Unknown,Blue,50,3,1,4,9079.2,2451,29615.1,1.085911765,1884,42,0.764349915,0.070749847
810147472,Attrited Customer,58,F,3,High School,Married,Unknown,Blue,36,5,3,3,8980,747,13445.4,0.996865418,1099,23,0.659176632,0.197410392
710077101,Existing Customer,43,M,0,Unknown,Divorced,Less than $40K,Blue,27,5,3,3,3177.8,1502,2398.1,0.937165619,3531,63,0.824896503,0.429129408
716568559,Existing Customer,56,M,4,High School,Single,$60K - $80K,Silver,49,4,3,3,15411.3,1568,30752.7,0.701772231,8197,123,0.771262437,0.179036464
720335657,Existing Customer,42,M,2,Uneducated,Married,$60K - $80K,Silver,38,6,1,3,2344.3,2006,3449.1,0.91859315,4124,89,0.717226971,0.060265907
784175587,Existing Customer,44,M,3,High School,Single,$80K - $120K,Blue,36,5,1,3,31509.4,1009,33165.2,0.821246109,3893,98,0.716279466,0.097287644
709880530,Existing Customer,55,M,3,Uneducated,Divorced,$40K - $60K,Blue,38,4,1,3,2881.4,2286,4369.4,0.743681968,2064,85,0.598065395,0.550234008
714396848,Existing Customer,49,F,3,Post-Graduate,Married,Unknown,Blue,35,4,3,0,2516,0,18527.8,0.64251681,1469,42,0.37803809,0.001013246
812081946,Existing Customer,50,M,0,Post-Graduate,Married,$80K - $120K,Blue,32,4,3,3,32647.7,829,34516,0.821504096,13326,52,0.643158256,0.07600963
709849422,Existing Customer,32,F,2,Uneducated,Married,$40K - $60K,Blue,29,3,3,1,2549.2,1840,573.2,0.595109367,4158,88,0.557553081,0.684086108
756450857,Attrited Customer,54,F,2,Unknown,Married,Less than $40K,Blue,45,6,3,3,5425.5,9,1322.1,0.648829285,1666,51,0.267805097,0.008457788
720035155,Existing Customer,55,F,3,Post-Graduate,Married,$60K - $80K,Blue,42,5,1,4,1939.9,0,5277.2,0.630355855,2030,34,0.578583432,0.000454497
719789741,Existing Customer,51,M,0,Graduate,Single,$40K - $60K,Blue,36,5,2,3,3044,1537,14321,0.870498099,13585,113,0.71505731,0.153089363
769157038,Existing Customer,55,M,3,Doctorate,Married,$40K - $60K,Gold,38,5,1,3,31428.3,1423,10617.5,0.796477695,8059,71,0.67641287,0.064150351
806893516,Existing Customer,55,F,2,Uneducated,Married,$40K - $60K,Blue,35,5,3,1,6133.3,1647,3685.6,0.750174492,4115,82,0.688949981,0.076389425
714636665,Attrited Customer,48,F,1,Graduate,Married,Unknown,Blue,36,5,3,3,8924,2517,16111.6,0.397281145,1210,24,0.241826591,0.203401718
709628298,Existing Customer,54,M,2,High School,Single,$60K - $80K,Blue,30,4,3,1,12472.8,1072,22141.1,0.797299601,1777,67,0.638631166,0.064712149
711710939,Attrited Customer,55,F,3,Post-Graduate,Single,Unknown,Blue,46,4,3,3,25547.3,0,3022.8,0.660036006,1326,90,0.563343797,0.033185783
713104479,Existing Customer,57,M,3,Uneducated,Single,$80K - $120K,Blue,27,5,2,3,2971.6,1581,3688.9,0.657895297,4064,83,0.721893294,0.018734203
821404985,Existing Customer,59,F,3,Unknown,Married,Less than $40K,Blue,43,3,2,1,6010.9,1308,15523.6,0.87412676,4113,74,0.409389245,0.269839461
786878868,Existing Customer,58,M,2,Graduate,Married,$120K +,Blue,26,6,2,4,3706.7,1457,1057.8,0.794002635,1417,46,0.731252431,0.570272658
819886580,Existing Customer,51,F,1,High School,Married,Unknown,Blue,43,2,3,3,4000.1,1385,17952,0.553018875,14803,95,0.58248078,0.118751713
710231169,Existing Customer,42,M,3,College,Married,$80K - $120K,Blue,25,3,2,2,4922.7,1695,1530.1,0.637753645,1634,53,0.875365092,0.559491159
713854848,Existing Customer,54,M,1,College,Single,$80K - $120K,Blue,55,4,1,3,14779.7,943,27137,0.666402315,12422,71,0.632291993,0.090570813
708868390,Existing Customer,49,M,4,High School,Single,$80K - $120K,Silver,38,1,3,2,30825.6,1739,32491.3,0.751100521,4203,131,0.756582194,0.150688158
793465197,Existing Customer,57,M,2,Unknown,Unknown,$60K - $80K,Silver,35,3,2,2,31461.7,1385,26831.9,0.678197635,4010,56,0.708886098,0.147615774
716553388,Existing Customer,44,F,3,Uneducated,Divorced,$120K +,Silver,54,1,1,4,29402.2,1037,29329.4,0.696699442,1388,38,0.518556899,0.061536533
709911880,Attrited Customer,50,F,2,College,Single,Less than $40K,Silver,45,2,3,2,3703.1,1309,3387.4,0.849008457,4260,66,0.86546929,0.161555775
714982876,Attrited Customer,51,F,5,High School,Married,Less than $40K,Blue,41,3,1,4,2076.8,2336,1547.9,0.708925059,5145,87,0.895261364,0.936592888
713628180,Attrited Customer,58,F,0,High School,Married,Unknown,Blue,36,3,3,3,17210.4,2517,19757.1,0.59787453,1273,20,0.414546434,0.070549555
828343083,Existing Customer,36,M,2,High School,Divorced,$60K - $80K,Blue,46,1,1,3,2702.6,1252,22044.7,0.6424674,13677,73,1.313309191,0.027002386
710059323,Existing Customer,32,F,4,Doctorate,Divorced,$120K +,Blue,44,4,3,3,3443,1909,6213.6,0.412120113,934,32,0.606959567,0.622616454
720514601,Attrited Customer,45,F,1,Graduate,Married,Less than $40K,Blue,27,5,3,4,1781,0,1725.1,0.69649779,1400,33,0.454047881,0.010276325
709832306,Existing Customer,48,M,2,High School,Married,Unknown,Silver,36,5,3,3,11301.9,2042,21045,0.630236138,702,22,0.528450074,0.045726639
715243755,Existing Customer,37,M,2,High School,Single,$80K - $120K,Silver,46,5,1,0,13689.5,1716,23654.3,1.36839549,1121,36,1.29529382,0.017150398
811299125,Existing Customer,59,M,2,High School,Unknown,$80K - $120K,Silver,45,2,3,3,5620.2,1446,12158.9,0.828424395,4814,91,0.594072278,0.135337049
710917145,Existing Customer,46,F,3,High School,Unknown,Less than $40K,Blue,31,6,3,1,1854,1435,564.5,0.971780376,5233,95,0.722627236,0.597706615
720478174,Existing Customer,54,M,4,Uneducated,Married,$60K - $80K,Blue,24,5,2,3,7417.4,898,3992.9,0.918003842,1571,84,0.597295474,0.106365658
714842547,Existing Customer,53,M,1,Unknown,Single,Less than $40K,Blue,36,3,1,4,6074.5,1630,7979.9,0.917601809,4173,32,0.726590408,0.180430524
711038632,Existing Customer,32,F,4,Post-Graduate,Married,$80K - $120K,Gold,28,2,1,3,34120.8,1406,10721.4,0.622796531,8631,92,0.576851771,0.071258828
720310396,Existing Customer,44,F,4,Unknown,Single,$40K - $60K,Blue,37,3,3,3,2036,4,8726.5,0.977299475,2345,42,0.355089572,0.006784238
722043012,Existing Customer,41,F,2,Uneducated,Unknown,$40K - $60K,Blue,39,3,3,3,7425,1046,13280.2,0.568159398,1623,30,1.525639528,0.120946951
711037141,Existing Customer,37,M,3,Uneducated,Single,Less than $40K,Blue,42,6,3,4,2926.8,1203,725.5,0.699066314,1464,41,0.9026241,0.798720541
719967951,Existing Customer,54,M,2,Post-Graduate,Married,$80K - $120K,Blue,26,6,3,4,8443.5,0,11466.8,0.800131089,939,25,0.41637764,0
786571292,Existing Customer,37,M,3,High School,Married,$60K - $80K,Blue,38,6,2,1,2349.3,1963,1684.4,0.815746451,4263,90,0.68516944,0.605238302
719446645,Existing Customer,49,M,3,Uneducated,Married,$60K - $80K,Blue,36,1,1,3,6135.5,2029,3036,0.862408283,13942,115,0.612785619,0.120776381
711083920,Existing Customer,51,F,2,High School,Single,$80K - $120K,Silver,55,2,2,3,12365.8,1605,20849.4,0.80698367,8230,127,0.764403065,0.121097831
709807168,Existing Customer,51,F,2,Graduate,Single,$40K - $60K,Blue,36,5,1,3,5932.1,2041,8549.5,0.773019786,4132,64,0.631195019,0.229583711
823427516,Attrited Customer,40,F,1,Unknown,Divorced,Unknown,Blue,40,3,6,4,7305.6,11,4424.5,0.630485729,1511,59,0.973370177,0
708869466,Existing Customer,56,F,1,Uneducated,Unknown,Less than $40K,Blue,31,2,1,3,6773.5,2215,9366.8,1.108268687,8318,84,0.7177626,0.135584798
721516126,Existing Customer,39,M,2,Graduate,Married,Unknown,Blue,37,4,3,4,6178.4,2461,1254.1,0.686947379,1368,23,0.757697537,0.479112697
720582120,Existing Customer,52,M,2,Doctorate,Married,$40K - $60K,Blue,45,2,3,3,6534.1,1096,14283.1,0.757109667,7194,79,0.595670076,0.041475449
762428025,Existing Customer,39,M,2,Post-Graduate,Married,$80K - $120K,Blue,29,3,3,2,3339.6,1770,8023.9,0.683392311,972,72,0.727548941,0.128716643
708283099,Attrited Customer,53,F,1,Uneducated,Married,Unknown,Blue,42,5,3,4,6728.1,0,20419,0.800800154,1225,26,0.502232807,0.002153352
715879556,Existing Customer,51,F,2,Post-Graduate,Single,Unknown,Platinum,52,2,3,3,31432.8,1476,30369.7,0.867749213,15118,124,0.503990133,0.087051547
814926554,Existing Customer,47,F,2,Doctorate,Married,$40K - $60K,Blue,26,4,3,4,7808.8,1775,1727.2,0.947836704,4438,64,0.590108502,0.796089248
710853486,Attrited Customer,46,F,4,Unknown,Married,Less than $40K,Blue,46,4,2,2,2017.9,0,2864.2,0.541702792,586,32,0.490817632,0.001809424
742536689,Existing Customer,47,M,3,Doctorate,Married,$40K - $60K,Blue,38,3,2,1,1872.2,2006,511,0.610068179,4574,78,0.595257586,0.608457647
779195568,Existing Customer,45,F,0,Unknown,Married,$40K - $60K,Blue,41,4,1,1,2120,2266,720.3,0.848148254,4132,88,0.803101117,0.636779235
761986582,Attrited Customer,54,F,3,Uneducated,Single,Less than $40K,Blue,30,2,3,2,7796.9,27,6350.4,0.326554511,2496,38,0.394238636,0.002725549
781190198,Existing Customer,43,M,2,High School,Married,$80K - $120K,Blue,25,4,1,1,20774.1,1457,21173.5,0.94707489,3874,75,0.782656917,0.06374269
709373365,Attrited Customer,48,M,1,Graduate,Married,$120K +,Blue,36,6,3,4,2308,7,15699.1,0.650653824,1625,43,0.502872678,0
717997002,Attrited Customer,43,F,4,Unknown,Married,$60K - $80K,Blue,36,4,3,0,13295.7,0,5906.2,0.924333772,4613,44,0.303893427,0.000326251
815263770,Existing Customer,49,M,5,High School,Single,$40K - $60K,Blue,29,1,3,1,2545.3,1403,2716.4,0.813280811,4223,79,0.668128318,0.709188957
769409042,Existing Customer,54,F,3,Graduate,Single,Less than $40K,Blue,36,4,2,3,5421.3,0,815.5,0.868482262,4072,64,0.774254408,0.68172866
812304961,Existing Customer,44,M,2,Graduate,Unknown,$80K - $120K,Blue,25,1,2,3,11562.6,1425,10133.1,0.787156399,777,83,0.742135924,0.085576996
719529913,Existing Customer,44,F,4,High School,Married,Less than $40K,Blue,49,4,2,1,1922.2,1811,1165.9,0.828162765,4110,76,0.658054438,0.738477448
711518566,Attrited Customer,42,M,4,High School,Single,$40K - $60K,Gold,32,1,4,1,4451.1,2489,29679.4,0.857680585,8510,102,0.708587648,0.054663225
711836976,Attrited Customer,38,F,2,Graduate,Married,Less than $40K,Blue,54,5,5,4,2446.5,1,3607.5,0.72326371,1348,34,0.601474541,0.004187275
821083735,Existing Customer,55,M,1,Unknown,Unknown,Less than $40K,Blue,30,4,3,2,2753.3,0,1995.3,0.876686889,4815,80,0.824003224,0
719564802,Existing Customer,29,M,3,Unknown,Divorced,$60K - $80K,Blue,20,4,3,3,12898.1,2434,3305.9,0.605381445,1734,64,0.990190053,0.328397806
809981050,Attrited Customer,52,F,3,High School,Married,Less than $40K,Blue,36,3,3,2,3311.6,22,17970.3,0.45521155,1092,22,0.563940448,0.819614062
813206571,Existing Customer,55,F,3,Graduate,Single,Unknown,Silver,30,2,3,3,31688,1548,5069.1,0.799610308,4355,122,0.625452455,0.161253814
757640558,Existing Customer,52,F,2,Uneducated,Married,Unknown,Blue,16,4,4,3,9961.3,1986,18317.8,0.80130173,4746,40,0.713036526,0.118607656
719234834,Existing Customer,45,M,2,Unknown,Single,Unknown,Platinum,43,2,3,2,30258.6,894,30823.9,0.689500263,8058,121,0.694304534,0.040630479
717823972,Existing Customer,51,F,3,Doctorate,Married,Unknown,Silver,44,5,2,4,16371.7,1317,12852.9,0.790676624,3922,86,0.601181833,0.005116995
709153975,Attrited Customer,50,F,1,High School,Married,Unknown,Silver,46,5,3,3,34516,1104,34516,0.522441856,1184,29,0.544647474,0.027298044
